# wavelength[A] tau flux flux_error
1.150000e+03 0.000000e+00 5.730677e-01 2.406428e-01
1.150010e+03 0.000000e+00 6.050260e-01 2.472617e-01
1.150020e+03 0.000000e+00 6.780293e-01 2.617545e-01
1.150030e+03 0.000000e+00 7.828479e-01 2.812604e-01
1.150040e+03 0.000000e+00 7.176220e-01 2.692885e-01
1.150050e+03 0.000000e+00 9.767683e-01 3.141707e-01
1.150060e+03 0.000000e+00 8.807017e-01 2.983213e-01
1.150070e+03 0.000000e+00 8.987785e-01 3.013674e-01
1.150080e+03 0.000000e+00 9.075262e-01 3.028304e-01
1.150090e+03 0.000000e+00 9.441515e-01 3.088807e-01
1.150100e+03 0.000000e+00 9.010923e-01 3.017550e-01
1.150110e+03 0.000000e+00 7.947459e-01 2.833897e-01
1.150120e+03 0.000000e+00 8.948109e-01 3.007015e-01
1.150130e+03 0.000000e+00 8.332238e-01 2.901688e-01
1.150140e+03 0.000000e+00 1.031891e+00 3.229140e-01
1.150150e+03 0.000000e+00 9.171660e-01 3.044345e-01
1.150160e+03 0.000000e+00 7.413997e-01 2.737134e-01
1.150170e+03 0.000000e+00 9.455456e-01 3.091086e-01
1.150180e+03 0.000000e+00 9.859177e-01 3.156387e-01
1.150190e+03 0.000000e+00 9.636459e-01 3.120532e-01
1.150200e+03 0.000000e+00 9.617447e-01 3.117452e-01
1.150210e+03 0.000000e+00 1.032384e+00 3.229911e-01
1.150220e+03 0.000000e+00 1.005313e+00 3.187282e-01
1.150230e+03 0.000000e+00 1.076093e+00 3.297577e-01
1.150240e+03 0.000000e+00 8.731786e-01 2.970445e-01
1.150250e+03 0.000000e+00 1.008740e+00 3.192710e-01
1.150260e+03 0.000000e+00 8.594447e-01 2.946991e-01
1.150270e+03 0.000000e+00 9.689817e-01 3.129160e-01
1.150280e+03 0.000000e+00 9.231597e-01 3.054276e-01
1.150290e+03 0.000000e+00 9.749453e-01 3.138774e-01
1.150300e+03 0.000000e+00 1.328421e+00 3.663851e-01
1.150310e+03 0.000000e+00 8.949133e-01 3.007187e-01
1.150320e+03 0.000000e+00 9.159734e-01 3.042365e-01
1.150330e+03 0.000000e+00 1.001123e+00 3.180633e-01
1.150340e+03 0.000000e+00 1.207044e+00 3.492461e-01
1.150350e+03 0.000000e+00 8.846460e-01 2.989886e-01
1.150360e+03 0.000000e+00 9.859862e-01 3.156497e-01
1.150370e+03 0.000000e+00 8.755154e-01 2.974417e-01
1.150380e+03 0.000000e+00 1.030151e+00 3.226416e-01
1.150390e+03 0.000000e+00 1.089167e+00 3.317548e-01
1.150400e+03 0.000000e+00 9.088059e-01 3.030439e-01
1.150410e+03 0.000000e+00 1.049217e+00 3.256136e-01
1.150420e+03 0.000000e+00 1.032612e+00 3.230267e-01
1.150430e+03 0.000000e+00 9.497052e-01 3.097878e-01
1.150440e+03 0.000000e+00 8.195585e-01 2.877795e-01
1.150450e+03 0.000000e+00 9.827427e-01 3.151301e-01
1.150460e+03 0.000000e+00 1.049572e+00 3.256688e-01
1.150470e+03 0.000000e+00 9.594854e-01 3.113788e-01
1.150480e+03 0.000000e+00 9.816947e-01 3.149620e-01
1.150490e+03 0.000000e+00 8.316804e-01 2.898999e-01
1.150500e+03 0.000000e+00 9.721941e-01 3.134342e-01
1.150510e+03 0.000000e+00 8.174027e-01 2.874008e-01
1.150520e+03 0.000000e+00 1.185583e+00 3.461274e-01
1.150530e+03 0.000000e+00 9.997123e-01 3.178392e-01
1.150540e+03 0.000000e+00 1.124578e+00 3.371046e-01
1.150550e+03 0.000000e+00 8.757138e-01 2.974754e-01
1.150560e+03 0.000000e+00 9.714544e-01 3.133150e-01
1.150570e+03 0.000000e+00 1.071646e+00 3.290756e-01
1.150580e+03 0.000000e+00 9.593149e-01 3.113512e-01
1.150590e+03 0.000000e+00 9.293436e-01 3.064489e-01
1.150600e+03 0.000000e+00 9.101045e-01 3.032603e-01
1.150610e+03 0.000000e+00 1.018419e+00 3.207991e-01
1.150620e+03 0.000000e+00 1.012652e+00 3.198895e-01
1.150630e+03 0.000000e+00 9.974656e-01 3.174818e-01
1.150640e+03 0.000000e+00 9.650208e-01 3.122757e-01
1.150650e+03 0.000000e+00 8.885871e-01 2.996539e-01
1.150660e+03 0.000000e+00 7.685221e-01 2.786750e-01
1.150670e+03 0.000000e+00 1.059274e+00 3.271704e-01
1.150680e+03 0.000000e+00 1.159228e+00 3.422587e-01
1.150690e+03 0.000000e+00 1.036967e+00 3.237073e-01
1.150700e+03 0.000000e+00 1.029395e+00 3.225232e-01
1.150710e+03 0.000000e+00 9.770171e-01 3.142107e-01
1.150720e+03 0.000000e+00 9.766138e-01 3.141459e-01
1.150730e+03 0.000000e+00 9.859987e-01 3.156517e-01
1.150740e+03 0.000000e+00 8.119408e-01 2.864390e-01
1.150750e+03 0.000000e+00 1.042846e+00 3.246235e-01
1.150760e+03 0.000000e+00 8.659876e-01 2.958188e-01
1.150770e+03 0.000000e+00 9.629857e-01 3.119463e-01
1.150780e+03 0.000000e+00 1.030229e+00 3.226538e-01
1.150790e+03 0.000000e+00 8.614167e-01 2.950371e-01
1.150800e+03 0.000000e+00 9.407222e-01 3.083192e-01
1.150810e+03 0.000000e+00 1.022468e+00 3.214362e-01
1.150820e+03 0.000000e+00 9.805544e-01 3.147790e-01
1.150830e+03 0.000000e+00 8.763226e-01 2.975788e-01
1.150840e+03 0.000000e+00 1.045761e+00 3.250769e-01
1.150850e+03 0.000000e+00 1.017704e+00 3.206865e-01
1.150860e+03 0.000000e+00 1.031553e+00 3.228611e-01
1.150870e+03 0.000000e+00 1.112196e+00 3.352437e-01
1.150880e+03 0.000000e+00 1.240964e+00 3.541193e-01
1.150890e+03 0.000000e+00 1.151947e+00 3.411821e-01
1.150900e+03 0.000000e+00 1.004287e+00 3.185655e-01
1.150910e+03 0.000000e+00 9.734961e-01 3.136440e-01
1.150920e+03 0.000000e+00 1.040841e+00 3.243113e-01
1.150930e+03 0.000000e+00 1.006299e+00 3.188846e-01
1.150940e+03 0.000000e+00 9.650971e-01 3.122881e-01
1.150950e+03 0.000000e+00 1.091947e+00 3.321779e-01
1.150960e+03 0.000000e+00 1.046720e+00 3.252260e-01
1.150970e+03 0.000000e+00 9.969741e-01 3.174036e-01
1.150980e+03 0.000000e+00 1.008413e+00 3.192193e-01
1.150990e+03 0.000000e+00 1.072273e+00 3.291718e-01
1.151000e+03 0.000000e+00 1.095786e+00 3.327613e-01
1.151010e+03 0.000000e+00 1.045968e+00 3.251092e-01
1.151020e+03 0.000000e+00 1.095663e+00 3.327427e-01
1.151030e+03 0.000000e+00 9.348968e-01 3.073631e-01
1.151040e+03 0.000000e+00 8.663171e-01 2.958751e-01
1.151050e+03 0.000000e+00 1.004188e+00 3.185498e-01
1.151060e+03 0.000000e+00 9.821212e-01 3.150304e-01
1.151070e+03 0.000000e+00 8.397988e-01 2.913114e-01
1.151080e+03 0.000000e+00 1.093218e+00 3.323712e-01
1.151090e+03 0.000000e+00 9.893373e-01 3.161856e-01
1.151100e+03 0.000000e+00 1.123247e+00 3.369051e-01
1.151110e+03 0.000000e+00 1.068438e+00 3.285826e-01
1.151120e+03 0.000000e+00 9.305713e-01 3.066513e-01
1.151130e+03 0.000000e+00 8.885317e-01 2.996446e-01
1.151140e+03 0.000000e+00 1.147355e+00 3.405014e-01
1.151150e+03 0.000000e+00 9.996900e-01 3.178356e-01
1.151160e+03 0.000000e+00 7.526580e-01 2.757838e-01
1.151170e+03 0.000000e+00 1.009968e+00 3.194653e-01
1.151180e+03 0.000000e+00 1.060085e+00 3.272957e-01
1.151190e+03 0.000000e+00 8.942177e-01 3.006018e-01
1.151200e+03 0.000000e+00 9.879512e-01 3.159640e-01
1.151210e+03 0.000000e+00 1.000519e+00 3.179675e-01
1.151220e+03 0.000000e+00 7.711048e-01 2.791429e-01
1.151230e+03 0.000000e+00 9.342733e-01 3.072606e-01
1.151240e+03 0.000000e+00 9.048705e-01 3.023870e-01
1.151250e+03 0.000000e+00 1.089802e+00 3.318515e-01
1.151260e+03 0.000000e+00 8.813373e-01 2.984290e-01
1.151270e+03 0.000000e+00 1.016308e+00 3.204664e-01
1.151280e+03 0.000000e+00 9.858327e-01 3.156251e-01
1.151290e+03 0.000000e+00 1.150978e+00 3.410385e-01
1.151300e+03 0.000000e+00 8.868138e-01 2.993547e-01
1.151310e+03 0.000000e+00 1.059395e+00 3.271891e-01
1.151320e+03 0.000000e+00 8.573085e-01 2.943327e-01
1.151330e+03 0.000000e+00 1.011787e+00 3.197529e-01
1.151340e+03 0.000000e+00 1.021214e+00 3.212391e-01
1.151350e+03 0.000000e+00 1.134267e+00 3.385537e-01
1.151360e+03 0.000000e+00 8.523129e-01 2.934739e-01
1.151370e+03 0.000000e+00 1.101836e+00 3.336786e-01
1.151380e+03 0.000000e+00 1.137717e+00 3.390681e-01
1.151390e+03 0.000000e+00 9.185985e-01 3.046722e-01
1.151400e+03 0.000000e+00 8.748157e-01 2.973228e-01
1.151410e+03 0.000000e+00 1.098200e+00 3.331277e-01
1.151420e+03 0.000000e+00 1.058990e+00 3.271266e-01
1.151430e+03 0.000000e+00 8.623872e-01 2.952032e-01
1.151440e+03 0.000000e+00 8.809082e-01 2.983563e-01
1.151450e+03 0.000000e+00 8.657969e-01 2.957862e-01
1.151460e+03 0.000000e+00 9.725003e-01 3.134836e-01
1.151470e+03 0.000000e+00 8.854906e-01 2.991313e-01
1.151480e+03 0.000000e+00 1.046781e+00 3.252355e-01
1.151490e+03 0.000000e+00 9.544225e-01 3.105562e-01
1.151500e+03 0.000000e+00 1.062697e+00 3.276987e-01
1.151510e+03 0.000000e+00 1.096731e+00 3.329047e-01
1.151520e+03 0.000000e+00 6.256007e-01 2.514308e-01
1.151530e+03 0.000000e+00 1.164210e+00 3.429932e-01
1.151540e+03 0.000000e+00 9.977930e-01 3.175339e-01
1.151550e+03 0.000000e+00 9.892865e-01 3.161775e-01
1.151560e+03 0.000000e+00 1.130650e+00 3.380134e-01
1.151570e+03 0.000000e+00 8.147818e-01 2.869397e-01
1.151580e+03 0.000000e+00 1.003842e+00 3.184950e-01
1.151590e+03 0.000000e+00 1.022831e+00 3.214933e-01
1.151600e+03 0.000000e+00 1.096808e+00 3.329165e-01
1.151610e+03 0.000000e+00 1.030738e+00 3.227335e-01
1.151620e+03 0.000000e+00 1.014479e+00 3.201780e-01
1.151630e+03 0.000000e+00 1.027293e+00 3.221938e-01
1.151640e+03 0.000000e+00 9.120328e-01 3.035814e-01
1.151650e+03 0.000000e+00 9.531427e-01 3.103480e-01
1.151660e+03 0.000000e+00 9.946644e-01 3.170357e-01
1.151670e+03 0.000000e+00 9.883972e-01 3.160354e-01
1.151680e+03 0.000000e+00 1.062111e+00 3.276083e-01
1.151690e+03 0.000000e+00 1.203892e+00 3.487897e-01
1.151700e+03 0.000000e+00 9.665312e-01 3.125200e-01
1.151710e+03 0.000000e+00 1.033409e+00 3.231515e-01
1.151720e+03 0.000000e+00 1.053069e+00 3.262108e-01
1.151730e+03 0.000000e+00 9.647822e-01 3.122371e-01
1.151740e+03 0.000000e+00 1.011499e+00 3.197074e-01
1.151750e+03 0.000000e+00 1.137692e+00 3.390644e-01
1.151760e+03 0.000000e+00 1.021239e+00 3.212429e-01
1.151770e+03 0.000000e+00 1.045038e+00 3.249645e-01
1.151780e+03 0.000000e+00 9.812304e-01 3.148875e-01
1.151790e+03 0.000000e+00 1.005168e+00 3.187052e-01
1.151800e+03 0.000000e+00 9.302197e-01 3.065933e-01
1.151810e+03 0.000000e+00 1.125200e+00 3.371978e-01
1.151820e+03 0.000000e+00 1.114742e+00 3.356271e-01
1.151830e+03 0.000000e+00 1.162229e+00 3.427014e-01
1.151840e+03 0.000000e+00 1.099861e+00 3.333794e-01
1.151850e+03 0.000000e+00 1.007589e+00 3.190888e-01
1.151860e+03 0.000000e+00 7.847058e-01 2.815940e-01
1.151870e+03 0.000000e+00 1.090082e+00 3.318941e-01
1.151880e+03 0.000000e+00 8.545286e-01 2.938551e-01
1.151890e+03 0.000000e+00 8.584009e-01 2.945201e-01
1.151900e+03 0.000000e+00 8.758062e-01 2.974911e-01
1.151910e+03 0.000000e+00 1.058573e+00 3.270622e-01
1.151920e+03 0.000000e+00 1.005040e+00 3.186849e-01
1.151930e+03 0.000000e+00 1.004263e+00 3.185618e-01
1.151940e+03 0.000000e+00 7.446408e-01 2.743111e-01
1.151950e+03 0.000000e+00 1.069031e+00 3.286738e-01
1.151960e+03 0.000000e+00 9.103632e-01 3.033034e-01
1.151970e+03 0.000000e+00 9.440136e-01 3.088581e-01
1.151980e+03 0.000000e+00 9.630324e-01 3.119539e-01
1.151990e+03 0.000000e+00 9.574068e-01 3.110414e-01
1.152000e+03 0.000000e+00 1.063955e+00 3.278925e-01
1.152010e+03 0.000000e+00 1.227543e+00 3.521992e-01
1.152020e+03 0.000000e+00 1.098540e+00 3.331792e-01
1.152030e+03 0.000000e+00 9.438427e-01 3.088302e-01
1.152040e+03 0.000000e+00 8.149374e-01 2.869670e-01
1.152050e+03 0.000000e+00 1.064604e+00 3.279925e-01
1.152060e+03 0.000000e+00 1.016050e+00 3.204258e-01
1.152070e+03 0.000000e+00 1.080632e+00 3.304523e-01
1.152080e+03 0.000000e+00 9.388033e-01 3.080046e-01
1.152090e+03 0.000000e+00 1.089654e+00 3.318290e-01
1.152100e+03 0.000000e+00 9.557045e-01 3.107647e-01
1.152110e+03 0.000000e+00 9.569085e-01 3.109604e-01
1.152120e+03 0.000000e+00 9.476038e-01 3.094449e-01
1.152130e+03 0.000000e+00 8.864479e-01 2.992930e-01
1.152140e+03 0.000000e+00 1.079165e+00 3.302279e-01
1.152150e+03 0.000000e+00 1.062833e+00 3.277196e-01
1.152160e+03 0.000000e+00 1.158159e+00 3.421008e-01
1.152170e+03 0.000000e+00 9.481282e-01 3.095305e-01
1.152180e+03 0.000000e+00 9.754407e-01 3.139571e-01
1.152190e+03 0.000000e+00 1.006920e+00 3.189829e-01
1.152200e+03 0.000000e+00 8.984613e-01 3.013142e-01
1.152210e+03 0.000000e+00 9.529052e-01 3.103093e-01
1.152220e+03 0.000000e+00 9.311019e-01 3.067387e-01
1.152230e+03 0.000000e+00 8.598740e-01 2.947727e-01
1.152240e+03 0.000000e+00 1.056809e+00 3.267895e-01
1.152250e+03 0.000000e+00 1.034178e+00 3.232715e-01
1.152260e+03 0.000000e+00 8.866150e-01 2.993212e-01
1.152270e+03 0.000000e+00 8.984303e-01 3.013090e-01
1.152280e+03 0.000000e+00 9.113055e-01 3.034603e-01
1.152290e+03 0.000000e+00 9.813787e-01 3.149113e-01
1.152300e+03 0.000000e+00 9.550391e-01 3.106565e-01
1.152310e+03 0.000000e+00 9.692956e-01 3.129666e-01
1.152320e+03 0.000000e+00 1.093140e+00 3.323592e-01
1.152330e+03 0.000000e+00 9.959961e-01 3.172479e-01
1.152340e+03 0.000000e+00 1.061648e+00 3.275369e-01
1.152350e+03 0.000000e+00 9.068162e-01 3.027119e-01
1.152360e+03 0.000000e+00 1.064090e+00 3.279133e-01
1.152370e+03 0.000000e+00 1.032123e+00 3.229502e-01
1.152380e+03 0.000000e+00 1.117895e+00 3.361015e-01
1.152390e+03 0.000000e+00 9.498100e-01 3.098049e-01
1.152400e+03 0.000000e+00 9.544866e-01 3.105667e-01
1.152410e+03 0.000000e+00 1.079001e+00 3.302029e-01
1.152420e+03 0.000000e+00 1.010004e+00 3.194710e-01
1.152430e+03 0.000000e+00 1.016250e+00 3.204573e-01
1.152440e+03 0.000000e+00 9.708404e-01 3.132159e-01
1.152450e+03 0.000000e+00 1.017068e+00 3.205863e-01
1.152460e+03 0.000000e+00 1.000689e+00 3.179944e-01
1.152470e+03 0.000000e+00 1.018557e+00 3.208209e-01
1.152480e+03 0.000000e+00 9.983151e-01 3.176170e-01
1.152490e+03 0.000000e+00 1.013249e+00 3.199838e-01
1.152500e+03 0.000000e+00 1.130482e+00 3.379883e-01
1.152510e+03 0.000000e+00 8.220496e-01 2.882166e-01
1.152520e+03 0.000000e+00 9.575187e-01 3.110595e-01
1.152530e+03 0.000000e+00 7.977242e-01 2.839202e-01
1.152540e+03 0.000000e+00 8.464767e-01 2.924674e-01
1.152550e+03 0.000000e+00 1.047799e+00 3.253935e-01
1.152560e+03 0.000000e+00 1.066631e+00 3.283046e-01
1.152570e+03 0.000000e+00 1.163907e+00 3.429487e-01
1.152580e+03 0.000000e+00 9.754800e-01 3.139635e-01
1.152590e+03 0.000000e+00 8.845233e-01 2.989679e-01
1.152600e+03 0.000000e+00 9.151680e-01 3.041027e-01
1.152610e+03 0.000000e+00 1.136093e+00 3.388261e-01
1.152620e+03 0.000000e+00 9.981478e-01 3.175904e-01
1.152630e+03 0.000000e+00 1.147974e+00 3.405932e-01
1.152640e+03 0.000000e+00 1.090783e+00 3.320008e-01
1.152650e+03 0.000000e+00 9.583910e-01 3.112012e-01
1.152660e+03 0.000000e+00 1.037402e+00 3.237751e-01
1.152670e+03 0.000000e+00 1.033255e+00 3.231273e-01
1.152680e+03 0.000000e+00 1.147506e+00 3.405237e-01
1.152690e+03 0.000000e+00 9.885179e-01 3.160546e-01
1.152700e+03 0.000000e+00 7.179412e-01 2.693484e-01
1.152710e+03 0.000000e+00 1.144373e+00 3.400586e-01
1.152720e+03 0.000000e+00 9.153956e-01 3.041406e-01
1.152730e+03 0.000000e+00 1.044699e+00 3.249118e-01
1.152740e+03 0.000000e+00 1.102489e+00 3.337775e-01
1.152750e+03 0.000000e+00 9.875928e-01 3.159067e-01
1.152760e+03 0.000000e+00 1.097949e+00 3.330896e-01
1.152770e+03 0.000000e+00 1.077291e+00 3.299412e-01
1.152780e+03 0.000000e+00 1.171645e+00 3.440868e-01
1.152790e+03 0.000000e+00 1.165649e+00 3.432051e-01
1.152800e+03 0.000000e+00 9.011802e-01 3.017698e-01
1.152810e+03 0.000000e+00 9.866673e-01 3.157587e-01
1.152820e+03 0.000000e+00 1.061236e+00 3.274734e-01
1.152830e+03 0.000000e+00 1.012091e+00 3.198009e-01
1.152840e+03 0.000000e+00 1.008451e+00 3.192253e-01
1.152850e+03 0.000000e+00 8.565305e-01 2.941991e-01
1.152860e+03 0.000000e+00 1.061981e+00 3.275883e-01
1.152870e+03 0.000000e+00 9.848059e-01 3.154607e-01
1.152880e+03 0.000000e+00 9.334093e-01 3.071185e-01
1.152890e+03 0.000000e+00 9.906093e-01 3.163888e-01
1.152900e+03 0.000000e+00 9.907307e-01 3.164082e-01
1.152910e+03 0.000000e+00 8.618710e-01 2.951148e-01
1.152920e+03 0.000000e+00 1.083187e+00 3.308427e-01
1.152930e+03 0.000000e+00 1.013344e+00 3.199988e-01
1.152940e+03 0.000000e+00 1.036124e+00 3.235757e-01
1.152950e+03 0.000000e+00 1.024369e+00 3.217348e-01
1.152960e+03 0.000000e+00 1.090378e+00 3.319392e-01
1.152970e+03 0.000000e+00 1.032479e+00 3.230059e-01
1.152980e+03 0.000000e+00 1.139493e+00 3.393327e-01
1.152990e+03 0.000000e+00 1.033251e+00 3.231266e-01
1.153000e+03 0.000000e+00 9.117860e-01 3.035403e-01
1.153010e+03 0.000000e+00 9.278827e-01 3.062079e-01
1.153020e+03 0.000000e+00 8.610880e-01 2.949808e-01
1.153030e+03 0.000000e+00 1.104082e+00 3.340186e-01
1.153040e+03 0.000000e+00 7.907643e-01 2.826789e-01
1.153050e+03 0.000000e+00 9.700866e-01 3.130943e-01
