# wavelength[A] tau flux flux_error
1.150000e+03 0.000000e+00 5.791686e-01 2.408478e-01
1.150010e+03 0.000000e+00 6.669024e-01 2.584469e-01
1.150020e+03 0.000000e+00 7.160512e-01 2.678010e-01
1.150030e+03 0.000000e+00 7.819302e-01 2.798493e-01
1.150040e+03 0.000000e+00 8.653983e-01 2.944070e-01
1.150050e+03 0.000000e+00 7.961086e-01 2.823751e-01
1.150060e+03 0.000000e+00 8.711115e-01 2.953773e-01
1.150070e+03 0.000000e+00 1.017379e+00 3.192138e-01
1.150080e+03 0.000000e+00 1.069226e+00 3.272465e-01
1.150090e+03 0.000000e+00 1.002909e+00 3.169355e-01
1.150100e+03 0.000000e+00 9.584358e-01 3.098287e-01
1.150110e+03 0.000000e+00 9.930310e-01 3.153709e-01
1.150120e+03 0.000000e+00 9.226766e-01 3.039939e-01
1.150130e+03 0.000000e+00 8.288942e-01 2.881308e-01
1.150140e+03 0.000000e+00 8.808382e-01 2.970218e-01
1.150150e+03 0.000000e+00 1.028595e+00 3.209684e-01
1.150160e+03 0.000000e+00 9.562221e-01 3.094707e-01
1.150170e+03 0.000000e+00 1.002523e+00 3.168746e-01
1.150180e+03 0.000000e+00 1.184917e+00 3.444960e-01
1.150190e+03 0.000000e+00 9.882619e-01 3.146127e-01
1.150200e+03 0.000000e+00 9.393118e-01 3.067221e-01
1.150210e+03 0.000000e+00 1.041262e+00 3.229388e-01
1.150220e+03 0.000000e+00 8.461058e-01 2.911069e-01
1.150230e+03 0.000000e+00 9.532728e-01 3.089931e-01
1.150240e+03 0.000000e+00 9.125371e-01 3.023190e-01
1.150250e+03 0.000000e+00 9.163435e-01 3.029489e-01
1.150260e+03 0.000000e+00 1.017112e+00 3.191718e-01
1.150270e+03 0.000000e+00 1.036583e+00 3.222124e-01
1.150280e+03 0.000000e+00 9.069594e-01 3.013937e-01
1.150290e+03 0.000000e+00 9.934627e-01 3.154394e-01
1.150300e+03 0.000000e+00 9.362863e-01 3.062277e-01
1.150310e+03 0.000000e+00 1.117252e+00 3.345151e-01
1.150320e+03 0.000000e+00 8.946804e-01 2.993465e-01
1.150330e+03 0.000000e+00 1.077808e+00 3.285571e-01
1.150340e+03 0.000000e+00 9.707317e-01 3.118098e-01
1.150350e+03 0.000000e+00 1.018867e+00 3.194471e-01
1.150360e+03 0.000000e+00 1.034568e+00 3.218991e-01
1.150370e+03 0.000000e+00 1.023872e+00 3.202307e-01
1.150380e+03 0.000000e+00 1.004179e+00 3.171361e-01
1.150390e+03 0.000000e+00 9.620520e-01 3.104127e-01
1.150400e+03 0.000000e+00 1.064001e+00 3.264458e-01
1.150410e+03 0.000000e+00 1.011277e+00 3.182550e-01
1.150420e+03 0.000000e+00 1.030767e+00 3.213072e-01
