specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
COS-FUV_P0_z0.17_2.fits|1036.3367|0.17|15.854|0.188|12.777|0.734|-129.391|0.451|2|2|2|-200.0|200.0|1211.8225695726878|1213.2053084273123|6182|6321|0.1695|C II|a|-- 
COS-FUV_P0_z0.17_2.fits|1334.5323|0.17|15.854|0.0|12.777|0.0|-129.391|0.0|2|2|2|-200.0|200.0|1560.5124868816756|1562.2930951183243|42960|43109|0.1695|C II|a|-- 
COS-FUV_P0_z0.17_2.fits|1037.0182|0.17|18.668|0.015|7.778|2.109|-133.41|1.13|3|3|3|-200.0|200.0|1212.6194699248258|1214.003118075174|6262|6400|0.16948|C II*|a|-- 
COS-FUV_P0_z0.17_2.fits|1335.7077|0.17|18.668|0.0|7.778|0.0|-133.41|0.0|3|3|3|-200.0|200.0|1561.8869207392004|1563.6690972607992|43075|43223|0.16948|C II*|a|-- 
COS-FUV_P0_z0.17_2.fits|1025.7222|0.17|18.668|0.0|7.778|0.0|-133.41|0.0|3|3|3|-200.0|200.0|1199.4106858048647|1200.779262195135|4941|5078|0.16948|H I|a|-- 
COS-FUV_P0_z0.17_2.fits|1215.67|0.17|18.668|0.0|7.778|0.0|-133.41|0.0|3|3|3|-200.0|200.0|1421.522892272781|1423.144907727219|28530|28827|0.16948|H I|a|-- 
COS-FUV_P0_z0.17_2.fits|989.8731|0.17|15.854|0.0|12.777|0.0|-129.391|0.0|2|2|2|-200.0|200.0|1157.491154750075|1158.8118992499249|749|881|0.1695|SiII|a|-- 
COS-FUV_P0_z0.17_2.fits|1190.4158|0.17|15.854|0.0|12.777|0.0|-129.391|0.0|2|2|2|-200.0|200.0|1391.9923260615267|1393.580645938473|24199|24358|0.1695|SiII|a|-- 
COS-FUV_P0_z0.17_2.fits|1193.2897|0.17|15.854|0.0|12.777|0.0|-129.391|0.0|2|2|2|-200.0|200.0|1395.3528718018204|1396.9450261981794|24535|24695|0.1695|SiII|a|-- 
COS-FUV_P0_z0.17_2.fits|1260.4221|0.17|15.854|0.0|12.777|0.0|-129.391|0.0|2|2|2|-200.0|200.0|1473.8529938852914|1475.5347201147083|35739|35879|0.1695|SiII|a|-- 
COS-FUV_P0_z0.17_2.fits|1304.3702|0.17|15.854|0.0|12.777|0.0|-129.391|0.0|2|2|2|-200.0|200.0|1525.242951868867|1526.9833161311328|40021|40166|0.1695|SiII|a|-- 
COS-FUV_P0_z0.17_2.fits|1197.3938|0.17|14.002|0.029|26.991|1.451|-129.182|1.25|4|4|4|-200.0|200.0|1400.1519308410143|1401.7495611589857|25015|25175|0.1695|SiII*|a|-- 
COS-FUV_P0_z0.17_2.fits|1264.7377|0.17|14.002|0.0|26.991|0.0|-129.182|0.0|4|4|4|-200.0|200.0|1478.899366826873|1480.5868511731267|36159|36300|0.1695|SiII*|a|-- 
COS-FUV_P0_z0.17_2.fits|1265.002|0.17|14.002|0.0|26.991|0.0|-129.182|0.0|4|4|4|-200.0|200.0|1479.2084215048922|1480.8962584951075|36185|36326|0.1695|SiII*|a|-- 
COS-FUV_P0_z0.17_2.fits|1309.2757|0.17|14.002|0.0|26.991|0.0|-129.182|0.0|4|4|4|-200.0|200.0|1530.979114271529|1532.7260237284706|40499|40645|0.1695|SiII*|a|-- 
COS-FUV_P0_z0.17_2.fits|1206.5|0.17|13.318|0.02|47.353|2.841|-133.307|1.897|5|5|5|-200.0|200.0|1410.8001098382867|1412.409890161713|26564|26859|0.16948|SiIII|a|-- 
