specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment
COS-FUV_P0_z0.17_6.fits|1036.3367|0.17|11.162|0.933|4.0|0.0|21.64|25.139|4|4|4|-200.0|200.0|1211.8225695726878|1213.2053084273123|6182|6321|0.17008|C II|a|--
COS-FUV_P0_z0.17_6.fits|1334.5323|0.17|11.162|0.0|4.0|0.0|21.64|0.0|4|4|4|-200.0|200.0|1560.5124868816756|1562.2930951183243|42960|43109|0.17008|C II|a|--
COS-FUV_P0_z0.17_6.fits|1037.0182|0.17|10.854|3.207|4.0|0.0|-66.449|97.371|3|3|3|-200.0|200.0|1212.6194699248258|1214.003118075174|6262|6400|0.16974|C II*|a|--
COS-FUV_P0_z0.17_6.fits|1335.7077|0.17|10.854|0.0|4.0|0.0|-66.449|0.0|3|3|3|-200.0|200.0|1561.8869207392004|1563.6690972607992|43075|43223|0.16974|C II*|a|--
COS-FUV_P0_z0.17_6.fits|1025.7222|0.17|14.617|0.03|73.153|3.349|-205.675|4.335|2|2|2|-200.0|200.0|1199.4106858048647|1200.779262195135|4941|5078|0.1692|H I|a|--
COS-FUV_P0_z0.17_6.fits|1215.67|0.17|14.617|0.0|73.153|0.0|-205.675|0.0|2|2|2|-200.0|200.0|1421.522892272781|1423.144907727219|28530|28827|0.1692|H I|a|--
COS-FUV_P0_z0.17_6.fits|1031.9261|0.17|14.617|0.0|73.153|0.0|-205.675|0.0|2|2|2|-200.0|200.0|1206.665110008284|1208.0419639917154|5667|5804|0.1692|O VI|a|--
COS-FUV_P0_z0.17_6.fits|1037.6167|0.17|14.617|0.0|73.153|0.0|-205.675|0.0|2|2|2|-200.0|200.0|1213.319315648604|1214.7037623513959|6332|6470|0.1692|O VI|a|--
COS-FUV_P0_z0.17_6.fits|1190.4158|0.17|10.854|0.0|4.0|0.0|-66.449|0.0|3|3|3|-200.0|200.0|1391.9923260615267|1393.580645938473|24199|24358|0.16974|SiII|a|--
COS-FUV_P0_z0.17_6.fits|1193.2897|0.17|10.854|0.0|4.0|0.0|-66.449|0.0|3|3|3|-200.0|200.0|1395.3528718018204|1396.9450261981794|24535|24695|0.16974|SiII|a|--
COS-FUV_P0_z0.17_6.fits|1260.4221|0.17|10.854|0.0|4.0|0.0|-66.449|0.0|3|3|3|-200.0|200.0|1473.8529938852914|1475.5347201147083|35739|35879|0.16974|SiII|a|--
COS-FUV_P0_z0.17_6.fits|1264.7377|0.17|11.145|2.205|4.0|0.0|28.754|68.441|5|5|5|-200.0|200.0|1478.899366826873|1480.5868511731267|36159|36300|0.17011|SiII*|a|--
COS-FUV_P0_z0.17_6.fits|1206.5|0.17|11.162|0.0|4.0|0.0|21.64|0.0|4|4|4|-200.0|200.0|1410.8001098382867|1412.409890161713|26564|26859|0.17008|SiIII|a|--
